name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
Bruxelles 1893,2,50,125,13,7.6444100000000015,3.5931
King of Tokyo,2,30,30,8,7.209289999999998,1.4977
Harry Potter  Hogwarts Battle,2,30,60,11,7.4946899999999985,2.0562
Nippon,2,60,120,12,7.7168199999999985,3.7671
Altiplano,2,60,120,12,7.55935,3.3372
Tapestry,1,90,120,12,7.53288,2.8439
\u0e1a\u0e49\u0e32\u0e19\u0e19\u0e35\u0e49\u0e02\u0e32\u0e22!,3,30,30,10,7.220389999999999,1.2698
Macao,2,50,100,12,7.42939,3.1376
Sherlock Holmes Consulting Detective  Jack the Ripper & West End Adventures,1,60,120,10,7.8495,2.1489
BattleCON  Devastation of Indines,1,45,45,10,7.968539999999999,3.0816
Azul  Stained glass of Sintra \/ Les vitraux de Sintra,2,30,45,8,7.5068199999999985,1.9674
Fresco,2,60,60,10,7.304410000000002,2.6381
Arkham Horror,1,120,240,14,7.277,3.5648
51st State  Master Set,1,60,90,14,7.6766,2.9385
San Juan (Second Edition),2,45,60,10,7.54184,2.0821
Maria,2,210,210,14,7.95522,3.4978
Berenpark,2,30,45,8,7.358789999999999,1.686
Lancaster,2,60,60,10,7.43942,2.9882
A Few Acres of Snow,2,60,120,14,7.40827,3.0326
Western Legends,2,60,90,14,7.6968,2.7193
Risk Legacy,3,60,60,13,7.45592,2.5925
Cryptid,3,30,50,10,7.561439999999998,2.21
KeyForge  Call of the Archons,2,15,45,14,7.473219999999999,2.4424
The Godfather  Corleone's Empire,2,60,90,14,7.59272,2.5962
Glen More,2,45,70,10,7.334519999999999,2.6733
Quadropolis,2,30,60,8,7.32291,2.2071
Flash Point  Fire Rescue,2,45,45,10,7.22285,2.2113
Pax Pamir (Second Edition),1,45,120,13,8.38785,3.6774
Millennium Blades,2,80,120,12,7.76116,3.6327
Lost Cities,2,30,30,10,7.16511,1.505
Dice Forge,2,45,45,10,7.31923,1.9492
BattleLore,2,60,60,10,7.36901,2.7643
Lord of the Rings  The Confrontation (Deluxe Edition),2,30,30,14,7.4873,2.2018
Firefly  The Game,1,120,240,13,7.388510000000001,2.9459
Innovation,2,45,60,12,7.240410000000002,2.7261
Vindication,2,45,150,14,7.942639999999999,3.0459
Kingsburg,2,90,90,13,7.205030000000002,2.4296
1775  Rebellion,2,60,120,10,7.70564,2.2511
KLASK,2,10,10,8,7.62368,1.0649
Heroscape Master Set  Rise of the Valkyrie,2,90,90,8,7.42583,2.2913
Amun-Re,3,90,90,12,7.32989,3.0565
Sheriff of Nottingham,3,60,60,14,7.18014,1.6553
G\u00f9g\u014dng,1,60,90,12,7.5617800000000015,3.1792
Pandemic  The Cure,2,30,30,8,7.32262,2.0496
Gizmos,2,40,50,14,7.49782,1.99
Amerigo,2,90,90,10,7.473489999999999,3.0064
Shadows of Brimstone  City of the Ancients,1,120,120,12,7.98943,3.3333
Space Base,2,60,60,14,7.50685,2.1277
The Great Zimbabwe,2,90,150,14,7.77814,3.6919
Blood Bowl (Third Edition),2,180,180,12,7.539510000000001,2.9756
Spartacus  A Game of Blood & Treachery,3,120,180,17,7.45665,2.71
Santa Maria,1,45,90,12,7.58448,3.0397
Dominion (Second Edition),2,30,30,14,8.013630000000001,2.2424
Stockpile,2,45,45,13,7.535439999999999,2.0966
Descent  Journeys in the Dark,2,120,240,13,7.30766,3.3418
\u05d4\u05de\u05d3\u05d1\u05e8 \u05d4\u05e0\u05e2\u05dc\u05dd,2,45,45,10,7.1761300000000015,2.0528
Mansions of Madness,2,120,180,13,7.3116,3.2448
London,2,90,90,13,7.375089999999998,2.8831
Madeira,2,60,150,12,7.638619999999999,4.2764
Thunderstone Quest,2,60,90,14,8.0169,2.7021
Roads & Boats,1,240,240,14,7.746010000000001,4.1829
Raptor,2,25,25,9,7.3738800000000015,2.057
Scripts and Scribes,2,30,30,10,7.20235,1.6783
Nemo's War (Second Edition),1,60,120,13,8.03195,3.027
Sentinels of the Multiverse,2,30,60,8,7.2572800000000015,2.4978
Pandemic  Reign of Cthulhu,2,40,40,14,7.431310000000001,2.1261
Deus,2,60,90,14,7.34651,2.8433
Egizia,2,90,90,12,7.444260000000001,2.832
Sword & Sorcery  Immortal Souls,1,60,90,12,8.07925,4.0154
Star Wars  X-Wing Miniatures Game \u2013 The Force Awakens Core Set,2,30,45,14,7.89873,2.8043
Hanabi Deluxe,2,25,25,8,7.116630000000002,1.6982
Commands & Colors  Napoleonics,2,90,90,14,7.9768,2.7415
Time's Up! Title Recall!,4,60,60,12,7.73637,1.1909999999999998
Archipelago,2,30,240,14,7.36218,3.7385
Abyss,2,30,60,14,7.30668,2.3402
Labyrinth  The War on Terror,1,180,180,12,7.58453,3.6224
Bunny Kingdom,2,40,60,12,7.43388,2.2414
Colt Express,2,30,40,10,7.152539999999999,1.8089
Small World Underground,2,30,90,8,7.2902,2.585
The Settlers of Catan,3,60,120,10,7.17333,2.3331
The Grizzled,2,30,30,14,7.23252,1.92
PitchCar,2,30,30,6,7.244669999999998,1.1287
First Class  All Aboard the Orient Express!,2,40,80,10,7.502739999999998,2.7778
Euphoria  Build a Better Dystopia,2,60,60,13,7.27641,3.0968
Freedom  The Underground Railroad,1,60,120,13,7.5953,2.9096
One Night Ultimate Werewolf,3,10,10,8,7.18099,1.3981
Legends of Andor,2,60,90,10,7.224660000000001,2.7574
Friday,1,25,25,13,7.17824,2.1229
Pathfinder Adventure Card Game  Rise of the Runelords \u2013 Base Set,1,90,90,13,7.24891,2.7122
Chinatown,3,60,60,12,7.29365,2.2894
Airlines Europe,2,75,75,10,7.31962,2.4395
Vinhos,2,60,135,12,7.49523,4.2032
Photosynthesis,2,30,60,10,7.19825,2.2812
Libertalia,2,40,60,14,7.19095,2.2326
Ginkgopolis,1,45,45,13,7.43265,2.9094
Shadows over Camelot,3,60,80,10,7.12529,2.5639
Monikers,4,60,60,18,7.754460000000001,1.0488
Citadels Classic,2,20,60,10,7.09218,2.0553
Mystic Vale,2,45,45,14,7.299410000000001,2.2762
Skull & Roses Red,3,45,45,14,7.19603,1.1433
TZAAR,2,30,60,13,7.6890800000000015,2.5376
Earth Reborn,2,180,180,13,7.698810000000001,3.8881
Tales of the Arabian Nights,1,120,120,12,7.2205,2.1591
Newton,1,90,90,14,7.63868,3.4174
Taj Mahal,3,75,100,12,7.29777,2.9947
Aeon's End  Legacy,1,45,90,14,8.32659,2.7692
Vikings,2,60,60,10,7.25732,2.5369
Junk Art  \u03b7 \u03a4\u03ad\u03c7\u03bd\u03b7 \u03c4\u03b7\u03c2 \u0399\u03c3\u03bf\u03c1\u03c1\u03bf\u03c0\u03af\u03b1\u03c2,2,30,30,8,7.47648,1.2642
Elysium,2,60,60,14,7.252160000000001,2.7538
Imhotep,2,40,40,10,7.215089999999999,2.0213
Schotten Totten,2,20,20,8,7.31054,1.7346
Hammer of the Scots,2,120,180,12,7.55383,2.985
Downforce,2,20,40,10,7.40037,1.802
Mensa Connections,1,45,45,10,7.133960000000001,1.9204
Lords of Vegas,2,60,90,12,7.32776,2.3563
The Colonists,1,30,360,12,7.7112,4.0941
The Fox in the Forest,2,30,30,10,7.337089999999999,1.5794
Star Wars  Destiny,2,30,30,10,7.62056,2.2381
A Game of Thrones  The Card Game (Second Edition),2,60,120,14,7.64107,3.5
Thurn and Taxis,2,60,60,10,7.1083300000000005,2.2628
Conan,2,90,90,14,7.760460000000001,2.7604
Paperback,2,45,45,8,7.227060000000002,1.9822
Maracaibo,1,60,150,12,8.30438,3.8629
StarCraft  The Board Game,2,180,240,12,7.3373300000000015,3.8305
A Game of Thrones,3,180,180,12,7.233739999999999,3.4513
RoboRally,2,45,120,12,7.09347,2.4308
Last Will,2,45,75,14,7.202160000000001,2.6988
Evolution,2,60,60,12,7.176589999999999,2.4336
Automobile,3,120,120,12,7.33816,3.5261
Francis Drake,3,90,120,14,7.44706,2.9251
Nexus Ops,2,90,90,12,7.2260300000000015,2.2252
Arkham Horror (Third Edition),1,120,180,14,7.82216,3.1368
Carson City,2,90,90,12,7.264760000000001,3.1838
Colosseum,3,60,90,10,7.219810000000002,2.7503
Pandemic  Fall of Rome,1,45,60,8,7.790310000000002,2.4314
Tiny Towns,1,45,60,14,7.42985,2.099
Wabash Cannonball,2,60,60,12,7.236280000000002,2.7896
DVONN,2,30,30,9,7.44729,2.6786
\u05e1\u05d5\u05e9\u05d9 Go!,2,15,15,8,7.06553,1.1627
Potion Explosion,2,30,45,8,7.1822300000000014,1.7374
Queendomino XL,2,25,25,8,7.298960000000001,2.1143
Runebound (Third Edition),2,120,180,14,7.5465399999999985,2.6835
Snowdonia,1,30,90,10,7.42139,3.0074
Magic Maze,1,15,15,8,7.12803,1.7177
Fire in the Lake,1,180,180,0,8.05102,4.0354
Argent  The Consortium,2,60,150,10,7.697539999999999,3.8061
1846  The Race for the Midwest,3,240,240,14,8.00919,4.0561
London (Second Edition),2,60,90,14,7.6603,2.6875
Baseball Highlights  2045,1,45,45,9,7.57332,2.2
Bohnanza  Fan Edition,2,45,45,13,7.03959,1.6749
AquaSphere,2,100,100,12,7.2881300000000016,3.6697
No Thanks!,3,20,20,8,7.0515,1.1429
Gears of War  The Board Game,1,60,180,14,7.468960000000001,2.8946
\u6d3b\u5728\u7576\u4e0b,2,45,75,10,7.58413,2.5149
Struggle of Empires  Deluxe Edition,2,180,240,13,7.49021,3.5931
Zombicide,1,60,60,14,7.186730000000002,2.5543
The Republic of Rome,1,300,300,14,7.53481,4.3221
Port Royal,2,20,50,8,7.146719999999998,1.602
Karuba,2,30,40,8,7.215969999999999,1.465
Thunderstone Advance  Towers of Ruin,1,45,45,12,7.403119999999999,2.7395
Discworld  Ankh-Morpork,2,60,60,11,7.220910000000001,2.2118
Quantum,2,60,60,13,7.29697,2.4476
Mare Nostrum  Empires,3,90,120,14,7.60985,3.019
Chess,2,60,60,6,7.10389,3.7193
Star Wars  Outer Rim,1,120,180,14,7.79597,2.4592
Camel Up,2,20,30,8,7.05616,1.4793
Triumph & Tragedy,2,240,240,12,8.19413,3.3212
Der Palast von Alhambra,2,45,60,8,7.0246,2.1121
Tobago,2,60,60,10,7.125780000000002,2.1227
Broom Service,2,30,75,10,7.20863,2.4103
Trains,2,45,45,12,7.1899,2.39
Summoner Wars,2,30,60,9,7.2770199999999985,2.3074
Shadows of Brimstone  Swamps of Death,1,90,180,12,8.05715,3.3704
Dixit  Journey,3,30,30,8,7.4358,1.2656
One Night Ultimate Werewolf Daybreak,3,10,10,8,7.41357,1.4535
Stuffed Fables,2,60,90,7,7.67318,2.4
Carcassonne  Hunters and Gatherers,2,35,35,8,7.13598,1.9201
Thebes,2,60,60,8,7.1447600000000016,2.1596
Belfort,2,120,120,12,7.26146,3.0539
Pax Porfiriana,1,120,120,12,7.6636,3.5346
Escape Plan,1,60,120,12,7.73255,3.712
Wallenstein,3,150,150,12,7.48715,3.3107
PARKS,1,30,60,10,7.952610000000001,2.1279
Betrayal Legacy,3,45,90,12,7.9801,2.8889
Smash Up  Awesome Level 9000,2,45,45,12,7.280689999999999,2.1345
\u30af\u30fc,2,15,15,13,7.02297,1.4161
The Battle of Five Armies,2,90,240,13,7.88015,3.5417
Blood Bowl (2016 edition),2,45,120,12,8.11382,3.4865
Warhammer Quest  The Adventure Card Game,1,30,60,14,7.412610000000001,2.7229
Space Empires  4X,1,180,180,12,7.65175,3.3385
Taluva,2,45,45,8,7.180630000000002,2.274
Defenders of the Realm,1,90,90,13,7.318810000000001,2.713
Through the Desert,2,45,45,10,7.061910000000001,2.2109
